Question	TI-ABS-KW	Id respondent	SDG	I don't know	Irrelevant	OK, relevant
Q02hal01941092	Urban planning 1.0. Survey of a commune in Greater Paris With Greater Paris, construction has gotten off to a flying start: housing, facilities, infrastructure. This book presents the transformations of a commune in eastern Paris, formerly in the 2nd ring road, which tomorrow will be served by a new Grand Paris Express station. The author, who has lived in this commune for 40 years and is a former researcher at the CNRS (French National Center for Scientific Research), uses his knowledge to develop a new approach, a political economy of detail . The project is to come out of the great frescoes - from one decade to the next - that explain things in a nutshell without showing how history is written and what impact it has had on the inhabitants. Cities are certainly the product of a few structuring programs, but also of a very large number of ordinary operations that, repeated, transform a street, a neighborhood and finally explain that a city is changing. To carry out this project, the author looks at his city from several points of view. In turn, he measures the number of constructions in progress; it is a vertiginous acceleration of the pace compared to the past and a total shift from the objective of moderate growth. With the procedure of the local urban plan, it studies the development of a public policy. It describes the main construction operations that have been or are being carried out, and the active promoters: real estate intermediaries and medium-sized builders have an important place in it. A specialist in network infrastructure, the author sheds new light on the sector by mobilizing the categories of utility regulation: transparency, equality, asymmetry, capture, reasonable profit. Finally, based on the documents kept by the mortgage department, he looks at the real economy of a few flagship operations. What is the level of urban rents, how do they compare with operating margins? This book, rich in information and diverse points of view, also questions the role of elected officials 35 years after decentralization. It sheds new light on the management of housing policy in Greater Paris. It demonstrates through significant short stories, such as 400 meters of soft lanes in 17 years , that there can be no change without vision and good institutions . Here, the book joins the national debate on rising housing prices. The data produced show how prices - and thus increases - are formed and on which link action should be taken; they finally help to measure the extent of the road to be travelled in order to design sustainable cities. Urban planning , Greater Paris , Grand Paris , etc.  	L-10	SDG16	null	null	1
Q09hal01995271	Rural areas: between dependence and autonomy of metropolises - The case of the Vosges du Nord NRP In the framework of the Clim'Ability (2016-2019) research, which aims to support companies in taking into account climate change on the scale of the Upper Rhine, case studies have been conducted. Their objective was to refine knowledge on companies' capacities to adapt to climate change in order to determine how the territory can influence awareness and action (the territory as a geographical entity knowledge of specific hazards due to local characteristics, but also the territory as an institutional structure and space of appropriation) (Rudolf, 2012; Gobert et al., 2017). One of these field studies was particularly interested in the Vosges du Nord Regional Nature Park and the wood-forest sector (Brailly, 2012). As a rural territory characterized by its status, its charter and its landscapes, the NRP is partly subject to external influences such as the metropolis of Strasbourg (especially in terms of mobility of inhabitants) and the structuring of economic markets, including that of wood. It also presents a certain number of its own endogenous forces, material assets (natural resources in particular) and immaterial assets (skills present on the territory, partly linked to the industrial past and present companies. This article sets out to determine which entities are active in the territory and how they can structure the future of the territory, focusing on the efforts made in a particular sector of activity, that of the exploitation of the forest and of the material that is wood. Sector , Wood , Circular economy , Metropolises , etc.  	L-85	SDG16	null	null	1
Q0523	Three-dimensional modeling of the mixing state of particles over Greater Paris SCRAM simulates the particle mixing state and solves the aerosol dynamic evolution taking into account the processes of coagulation, condensation/evaporation, and nucleation. Both the size and mass fractions of chemical components of particles are discretized. The performance of SCRAM to model air quality over Greater Paris is evaluated by comparison to PM2.5, PM10, and Aerosol Optical Depth (AOD) measurements. Because air quality models usually assume that particles are internally mixed, the impact of the mixing state on aerosols formation, composition, optical properties, and their ability to be activated as cloud condensation nuclei (CCN) is investigated. The simulation results show that more than half (up to 80% during rush hours) of black carbon particles are barely mixed at the urban site of Paris, while they are more mixed with organic species at a rural site. The comparisons between the internal-mixing simulation and the mixing state-resolved simulation show that the internal-mixing assumption leads to lower nitrate and higher ammonium concentrations in the particulate phase. Moreover, the internal-mixing assumption leads to lower single scattering albedo, and the difference of aerosol optical depth caused by the mixing state assumption can be as high as 72.5%. Furthermore, the internal-mixing assumption leads to lower CCN activation percentage at low supersaturation, but higher CCN activation percentage at high supersaturation. 2016. American Geophysical Union. All Rights Reserved. aerosol; aerosol composition; aerosol formation; air quality; atmospheric modeling; atmospheric pollution; black carbon; chemical property; cloud condensation nucleus; particle size; particulate matter; supersaturation; urban site; France; Ile de France; Paris; Ville de Paris; Polyphemus  	L-17	SDG15	null	null	1
Q2028	An interdisciplinary approach to the study of extreme weather events: Large-scale atmospheric controls and insights from dynamical systems theory and statistical mechanics The workshop on 'Large-Scale Atmospheric Controls of Extreme Weather Events and Novel Predictability Pathways' gathered speakers with a wide range of backgrounds to foster such cross-disciplinary interactions. A specific focus was on identifying novel analysis techniques to describe large-scale atmospheric flows and their links to extreme weather events. Tim Woollings analyzed the eddy-driven jet stream's variability on daily to decadal time scales. He showed a complex interplay between these time scales, with decadal variations in jet speed modulating the shorter-term variability in the jet's latitudinal location. Lynn McMurdie focused in more detail on intense precipitation events associated with extratropical cyclones. Dynamical systems; Statistical mechanics; Storms; Analysis techniques; Atmospheric controls; Cross-disciplinary; Decadal timescale; Decadal variations; Extratropical cyclones; Extreme weather events; Intense precipitation; Weather information services  	L-10	SDG13	null	null	1
Q2122	Do you think the following publication can be considered as a contribution to achieving the goal(s) suggested below? An explicit pseudo-energy conserving time-integration scheme for Hamiltonian dynamics We propose a new explicit pseudo-energy and momentum conserving scheme for the time integration of Hamiltonian systems. The scheme, which is formally second-order accurate, is based on two key ideas: the integration during the time-steps of forces between free-flight particles and the use of momentum jumps at the discrete time nodes leading to a two-step formulation for the acceleration. The pseudo-energy conservation is established under exact force integration, whereas it is valid to second-order accuracy in the presence of quadrature errors. Moreover, we devise an asynchronous version of the scheme that can be used in the framework of slow–fast time-stepping strategies. The scheme is validated against classical benchmarks and on nonlinear or inhomogeneous wave propagation problems. 2019 Elsevier B.V. Energy–momentum conservation; Explicit time-integration; Nonlinear Hamiltonian dynamics; Ordinary Differential Equations; Wave equations Energy conservation; Free flight; Integration; Momentum; Nonlinear equations; Ordinary differential equations; Wave equations; Wave propagation; Asynchronous version; Explicit time integration; Hamiltonian dynamics; Hamiltonian systems; Inhomogeneous waves; Momentum conservations; Momentum conserving; Second-order accuracy; Hamiltonians  	C-31	SDG7	null	null	1
Q2308	Impact of microbial activity on the mobility of metallic elements (Fe, Al and Hg) in tropical soils Dissolved organic carbon (DOC), especially low molecular mass organic acids (LMMOAs) derives principally from biota degradation process in which soil microorganisms are the main actors and from roots exudates. The presence of LMMOAs led to an increase of availability and mobility of metallic elements through the formation of organo-metallic complex. In tropical soils, very few information about LMMOAs quantification and their role in the biogeochemical process related to trace metals cycling was available. Quantification of LMMOAs is limited due to their low concentration and rapid degradation. Until now, the role of microbial activity as well as LMMOAs in the biogeochemical cycle of metallic elements in tropical soils has not been investigated. The present study was conducted to evaluate the effect of microbial activity and biomass on the availability and mobility of metallic elements (Fe, Al and Hg) in two tropical soils, Ferralsol and Acrisol. We also quantified LMMOAs contents in soil solutions and addressed to their role in the mobilization of metals. Utilization of Diffuse Gradient in Thin film (DGT) method permits to analyze bioavailable metal in both fractions: organically complexed and free metals. The results show that the quantity of Fe, Al and Hg labile were higher in Ferralsol than Acrisol soils. This was more accentuated for the 50 cm-depth of soils where the microbial activities and the organic carbon content were important. Concentration of LMMOAs of Ferralsol and Acrisol were lower in compare to coniferous and deciduous forest soils. Proportions of LMMOAs in DOC were very small at 10.5% and 6.85% in the Ferralsol and Acrisol soils, respectively. The mobilization of Fe, Al and Hg in Ferralsol and Acrisol soils appeared to vary depending on the soil physico-chemical characteristics (sorption capacities and metals content) and also on the microbial biomass and activity. Soil pH influences the acidity of the functional groups in organic molecules and consequently their speciation. In addition, low pH increase proton competition within acidic functional groups involved in coordinate bond. The content of CEC in Ferralsol is higher than Acrisol that is related to the high contents of clay and organic carbon. Low CEC content can result in a decrease of retain of the cationic trace metals. Low CEC content led to a decrease of the capacity of retaining of metallic elements in tropical soils in compare to temperate soils. 2018 DGT; DOC; Low molecular mass organic acids; Metals; Microbial activity; Tropical soils Aluminum; Biodegradation; Biogeochemistry; Mercury (metal); Metals; Molecular mass; Organic acids; Organic carbon; Soil moisture; Trace elements; Tropics; Acidic functional groups; Dissolved organic carbon; Low molecular mass organic acids; Microbial activities; Organic carbon contents; Organo-metallic complexes; Physicochemical characteristics; Tropical soils; Soil pollution; acidity; Acrisol; biogeochemical cycle; biomass; cation exchange capacity; clay soil; deciduous forest; dissolved organic carbon; Ferralsol; forest soil; microbial activity; mobilization; organic acid; pH; soil degradation; soil microorganism; speciation (chemistry); trace metal; tropical soil  	L-10	SDG11	null	null	1
Q17736	Aligning domestic policies with international coordination in a post-Paris global climate regime: A case for China The Paris COP-21 reached a climate agreement on 2-degree global emissions stabilisation target. However, the likelihood of successfully implementing a legally binding global climate treaty will depend to a large degree on the macroeconomic impacts of different policy options on developing and emerging economies. It is thus crucial to evaluate the transition costs of implementing different climate policy architectures under socioeconomic and technological uncertainties from a multiregional perspective. Here we use a hybrid computable general equilibrium model, in which sub-optimalities, infrastructural inertia and technological uncertainties are explicitly introduced, to quantify the trajectories of variation in transitions costs under a range of climate policy scenarios in both Annex I and developing nations. The policy architectures are based around the implementation of the ‘streamlined Paris Pledges’ (SPP) in developing countries with a particular focus on China and India. Our results indicate that the distributional effects should be taken into account by policymakers through extension of SPP to 2050 as global climate policies may have asymmetrical economic impacts between Annex I and developing countries. A first-best policy of global cap-and-trade scheme alone could be welfare-deteriorating for some parties, reflected by a significant reduction in macroeconomic growth rate over the course of the next decades. Modelling results also suggest that articulating both global and national policies in a multiregional climate deal can provide a palatable solution for countries like China as this would allow for significant reduction in the economic losses associated with a unique-carbon-price global climate policy. This hybrid approach is also aligned with specific development priorities in developing and emerging countries by providing flexibility to their domestic policy framework, which expects to facilitate the transition to low carbon growth trajectory by encouraging intersectoral coordination. Last, procrastination of technical change and delayed structural reform for decarbonising economy would entail significantly higher transition costs for developing countries in case of stringent climate policy due to the economic competitiveness forgone as a result of exorbitant carbon prices in the longer term. Relevant policy options and research perspectives are discussed accordingly. 2017 Elsevier Inc. China; Global climate policy; International and domestic coordination; National complementary policies; Paris Agreement; Second-best modelling Climate change; Costs; Developing countries; Economics; Losses; China; Climate policy scenarios; Computable general equilibrium model; Economic competitiveness; Global climates; International and domestic coordination; International coordination; Technological uncertainty; Climate models; developing world; emission control; emissions trading; environmental economics; environmental policy; global climate; international agreement; macroeconomics; policy analysis; policy approach; policy implementation; targeting; China  	L-10	SDG1	null	null	1
Q17736	Aligning domestic policies with international coordination in a post-Paris global climate regime: A case for China The Paris COP-21 reached a climate agreement on 2-degree global emissions stabilisation target. However, the likelihood of successfully implementing a legally binding global climate treaty will depend to a large degree on the macroeconomic impacts of different policy options on developing and emerging economies. It is thus crucial to evaluate the transition costs of implementing different climate policy architectures under socioeconomic and technological uncertainties from a multiregional perspective. Here we use a hybrid computable general equilibrium model, in which sub-optimalities, infrastructural inertia and technological uncertainties are explicitly introduced, to quantify the trajectories of variation in transitions costs under a range of climate policy scenarios in both Annex I and developing nations. The policy architectures are based around the implementation of the ‘streamlined Paris Pledges’ (SPP) in developing countries with a particular focus on China and India. Our results indicate that the distributional effects should be taken into account by policymakers through extension of SPP to 2050 as global climate policies may have asymmetrical economic impacts between Annex I and developing countries. A first-best policy of global cap-and-trade scheme alone could be welfare-deteriorating for some parties, reflected by a significant reduction in macroeconomic growth rate over the course of the next decades. Modelling results also suggest that articulating both global and national policies in a multiregional climate deal can provide a palatable solution for countries like China as this would allow for significant reduction in the economic losses associated with a unique-carbon-price global climate policy. This hybrid approach is also aligned with specific development priorities in developing and emerging countries by providing flexibility to their domestic policy framework, which expects to facilitate the transition to low carbon growth trajectory by encouraging intersectoral coordination. Last, procrastination of technical change and delayed structural reform for decarbonising economy would entail significantly higher transition costs for developing countries in case of stringent climate policy due to the economic competitiveness forgone as a result of exorbitant carbon prices in the longer term. Relevant policy options and research perspectives are discussed accordingly. 2017 Elsevier Inc. China; Global climate policy; International and domestic coordination; National complementary policies; Paris Agreement; Second-best modelling Climate change; Costs; Developing countries; Economics; Losses; China; Climate policy scenarios; Computable general equilibrium model; Economic competitiveness; Global climates; International and domestic coordination; International coordination; Technological uncertainty; Climate models; developing world; emission control; emissions trading; environmental economics; environmental policy; global climate; international agreement; macroeconomics; policy analysis; policy approach; policy implementation; targeting; China  	L-10	SDG3	null	null	1
Q011149	Financing the Consumption of the Young and Old in France A better understanding of the resource allocation across ages is fundamental to put in place welfare reforms in the context of population ageing. In times of major demographic change, the redistribution of resources between age groups and the funding of the economically inactive aged remains a recurring topic of public debate and a major public policy concern in OECD countries. Governments search for a policy mix that will improve thequality of life of the elderly, while at the same time investing in the future of the young and reducing the fiscal burden on the working population. Life expectancy and education requirements are increasing while budget constraints are tightening. This potentially creates tension in the allocation of resources between age groups (Preston 1984; Lee and Mason 2011a). By applying the methodology of National Transfer Accounts (NTA), this article analyzes for France (1) how the funding of consumption (publicand private) is secured at each age; (2) how the funding of consumption has changed over recent decades; and (3) how the consumption is financed compared to that of other countries (China, Germany, Japan, Sweden,United Kingdom, and United States). We consider three sources for financingconsumption: the State (net transfers and in-kind services), individuals themselves (income and assets), and families (inter vivos transfers, excluding bequests, following the NTA methodology) (United Nations 2013b). consumption behavior; elderly population; financial provision; welfare provision; young population; France  	L-10	SDG4	null	null	1
Q011149	Financing the Consumption of the Young and Old in France A better understanding of the resource allocation across ages is fundamental to put in place welfare reforms in the context of population ageing. In times of major demographic change, the redistribution of resources between age groups and the funding of the economically inactive aged remains a recurring topic of public debate and a major public policy concern in OECD countries. Governments search for a policy mix that will improve thequality of life of the elderly, while at the same time investing in the future of the young and reducing the fiscal burden on the working population. Life expectancy and education requirements are increasing while budget constraints are tightening. This potentially creates tension in the allocation of resources between age groups (Preston 1984; Lee and Mason 2011a). By applying the methodology of National Transfer Accounts (NTA), this article analyzes for France (1) how the funding of consumption (publicand private) is secured at each age; (2) how the funding of consumption has changed over recent decades; and (3) how the consumption is financed compared to that of other countries (China, Germany, Japan, Sweden,United Kingdom, and United States). We consider three sources for financingconsumption: the State (net transfers and in-kind services), individuals themselves (income and assets), and families (inter vivos transfers, excluding bequests, following the NTA methodology) (United Nations 2013b). consumption behavior; elderly population; financial provision; welfare provision; young population; France  	L-10	SDG16	null	null	1
